"term","estimate","std_error","p_value","outcome"
"Fiber",-0.103835316242211,0.0137212451704706,0.00163457780935337,"BMI"
"Sedentary time",0.00054741897517834,0.000132132263576835,0.0143419707201546,"BMI"
"Activity",-0.000360007815295107,0.000272976602331966,0.257664655875712,"BMI"
"Protein",0.00983590657597828,0.00405560039666592,0.0723500723940792,"BMI"
"Sleep",-0.326061753412935,0.0804282986810599,0.015423908546637,"BMI"
"Age",0.0179014559589875,0.00779874170697404,0.0833572871765567,"BMI"
"Female",0.476138000117995,0.226365451218709,0.103255828669566,"BMI"
"Fiber",-0.262482035988252,0.0434180922369603,0.00377654893799757,"Waist"
"Sedentary time",0.00160837738012644,0.00033979729112075,0.00908165587696776,"Waist"
"Activity",-0.00096628624975206,0.000676803350788332,0.226552560929339,"Waist"
"Protein",0.00729010007046493,0.00850775834227071,0.439814716076824,"Waist"
"Sleep",-0.7390516352937,0.263715087852947,0.0486892100953167,"Waist"
"Age",0.189430975523546,0.0193219975200463,0.000606760624706462,"Waist"
"Female",-5.60973848324929,0.492440097643835,0.000338693353487341,"Waist"
"Fiber",-0.0130143116008197,0.00748900563001087,0.157243900335625,"Glucose"
"Sedentary time",3.47291177872911e-05,3.443172298458e-05,0.370208781536339,"Glucose"
"Activity",-0.000168812800654902,3.52457400439397e-05,0.00871414502737552,"Glucose"
"Protein",0.00112454890422629,0.00217201549162901,0.631953358824127,"Glucose"
"Sleep",-0.0330272035867202,0.0263066479794662,0.277646242186588,"Glucose"
"Age",0.0208156917174499,0.0016476432238849,0.000226003351485497,"Glucose"
"Female",-0.527760129240038,0.0707453324879696,0.00172537099448833,"Glucose"
"Fiber",-0.0495552572919162,0.104064326905617,0.658777082934324,"Cholesterol"
"Sedentary time",-0.000907071238841926,0.000781621517519743,0.31038803085292,"Cholesterol"
"Activity",-0.00108082962746146,0.000469154193418949,0.0825946602679017,"Cholesterol"
"Protein",0.0306783090878918,0.033096819070159,0.406429895917373,"Cholesterol"
"Sleep",-1.23578215407975,0.44712988253426,0.0506512880885996,"Cholesterol"
"Age",0.114740040832572,0.0194240496304628,0.0041107284703205,"Cholesterol"
"Female",8.53537298016158,1.87964724346688,0.0104895719779573,"Cholesterol"
