"outcome","term","estimate","p_value","stars","cell"
"BMI","Fiber",-0.103835316242211,0.00163457780935337,"**","-0.1038** (p=0.002)"
"BMI","Sedentary time",0.00054741897517834,0.0143419707201546,"*","0.0005474* (p=0.014)"
"BMI","Activity",-0.000360007815295107,0.257664655875712,"","-0.00036 (p=0.258)"
"BMI","Protein",0.00983590657597828,0.0723500723940792,".","0.009836. (p=0.072)"
"BMI","Sleep",-0.326061753412935,0.015423908546637,"*","-0.3261* (p=0.015)"
"BMI","Age",0.0179014559589875,0.0833572871765567,".","0.0179. (p=0.083)"
"BMI","Female",0.476138000117995,0.103255828669566,"","0.4761 (p=0.103)"
"Waist","Fiber",-0.262482035988252,0.00377654893799757,"**","-0.2625** (p=0.004)"
"Waist","Sedentary time",0.00160837738012644,0.00908165587696776,"**","0.001608** (p=0.009)"
"Waist","Activity",-0.00096628624975206,0.226552560929339,"","-0.0009663 (p=0.227)"
"Waist","Protein",0.00729010007046493,0.439814716076824,"","0.00729 (p=0.440)"
"Waist","Sleep",-0.7390516352937,0.0486892100953167,"*","-0.7391* (p=0.049)"
"Waist","Age",0.189430975523546,0.000606760624706462,"***","0.1894*** (p=<0.001)"
"Waist","Female",-5.60973848324929,0.000338693353487341,"***","-5.61*** (p=<0.001)"
"Glucose","Fiber",-0.0130143116008197,0.157243900335625,"","-0.01301 (p=0.157)"
"Glucose","Sedentary time",3.47291177872911e-05,0.370208781536339,"","3.473e-05 (p=0.370)"
"Glucose","Activity",-0.000168812800654902,0.00871414502737552,"**","-0.0001688** (p=0.009)"
"Glucose","Protein",0.00112454890422629,0.631953358824127,"","0.001125 (p=0.632)"
"Glucose","Sleep",-0.0330272035867202,0.277646242186588,"","-0.03303 (p=0.278)"
"Glucose","Age",0.0208156917174499,0.000226003351485497,"***","0.02082*** (p=<0.001)"
"Glucose","Female",-0.527760129240038,0.00172537099448833,"**","-0.5278** (p=0.002)"
"Cholesterol","Fiber",-0.0495552572919162,0.658777082934324,"","-0.04956 (p=0.659)"
"Cholesterol","Sedentary time",-0.000907071238841926,0.31038803085292,"","-0.0009071 (p=0.310)"
"Cholesterol","Activity",-0.00108082962746146,0.0825946602679017,".","-0.001081. (p=0.083)"
"Cholesterol","Protein",0.0306783090878918,0.406429895917373,"","0.03068 (p=0.406)"
"Cholesterol","Sleep",-1.23578215407975,0.0506512880885996,".","-1.236. (p=0.051)"
"Cholesterol","Age",0.114740040832572,0.0041107284703205,"**","0.1147** (p=0.004)"
"Cholesterol","Female",8.53537298016158,0.0104895719779573,"*","8.535* (p=0.010)"
